date,symbol,open,close,low,high,volume
05-01-2016,WLTW,123.43,125.839996,122.309998,126.25,2163600
06-01-2016,WLTW,125.239998,119.980003,119.940002,125.540001,2386400
07-01-2016,WLTW,116.379997,114.949997,114.93,119.739998,2489500
08-01-2016,WLTW,115.480003,116.620003,113.5,117.440002,2006300
11-01-2016,WLTW,117.010002,114.970001,114.089996,117.330002,1408600
12-01-2016,WLTW,115.510002,115.550003,114.5,116.059998,1098000
13-01-2016,WLTW,116.459999,112.849998,112.589996,117.07,949600
14-01-2016,WLTW,113.510002,114.379997,110.050003,115.029999,785300
15-01-2016,WLTW,113.330002,112.529999,111.919998,114.879997,1093700
19-01-2016,WLTW,113.660004,110.379997,109.870003,115.870003,1523500
20-01-2016,WLTW,109.059998,109.300003,108.32,111.599998,1653900
21-01-2016,WLTW,109.730003,110,108.32,110.580002,944300
22-01-2016,WLTW,111.879997,111.949997,110.190002,112.949997,744900
25-01-2016,WLTW,111.32,110.120003,110,114.629997,703800
26-01-2016,WLTW,110.419998,111,107.300003,111.400002,563100
27-01-2016,WLTW,110.769997,110.709999,109.019997,112.57,896100
28-01-2016,WLTW,110.900002,112.580002,109.900002,112.970001,680400
